t,x,y,rad
0.76,37.47370482,-3.306850729,1.482972016
0.8,37.00864266,-5.512716678,1.423110547
0.84,35.91919472,-9.331896743,1.316783983
0.88,34.45961092,-14.76792708,1.166067425
0.92,31.19272317,-21.19205278,0.974162579
0.96,25.62600804,-27.40384891,0.751982925
1,18.48717913,-32.84338089,0.512751419
1.04,9.67874678,-36.52137159,0.259094245
1.08,-0.954716887,-37.80951089,-0.025248616
1.12,-10.36325225,-36.46628662,-0.276923167
1.16,-19.83922385,-33.00653119,-0.541275804
1.2,-26.57345513,-28.02712241,-0.758879175
1.24,-31.68008319,-22.39529003,-0.955564916
1.28,-34.05541182,-16.89400919,-1.110438297
1.32,-36.86842656,-11.89836994,-1.258786486
1.36,-38.17233064,-8.468375719,-1.352661372
1.4,-38.64857488,-6.411315383,-1.406588213
1.44,-38.98086245,-5.895688212,-1.420872514
1.48,-38.83016896,-7.090540279,-1.390362612
1.52,-38.02280802,-9.662366658,-1.322114934
1.56,-36.90563628,-14.03398615,-1.207572808
1.6,-34.27204207,-19.53807503,-1.052797979
1.64,-29.60917849,-25.92968543,-0.851662684
1.68,-22.55058212,-31.93747678,-0.614878094
1.72,-13.60450833,-36.40971028,-0.357633433
1.76,-3.908171056,-38.15095738,-0.102096805
1.8,5.824169338,-37.82958699,0.15277844
1.84,13.98289556,-34.87630098,0.381355808
1.88,21.87294482,-30.24973488,0.626128991
1.92,27.88240781,-25.14183762,0.837145973
1.96,31.55850389,-19.74709694,1.011803545
2,33.85619331,-15.09777964,1.15147437
2.04,34.77285782,-11.53149566,1.250747595
2.08,35.42158057,-8.978967069,1.322708458
2.12,35.62267552,-7.886599675,1.353093445
2.16,35.33507606,-8.376965922,1.338194968
2.2,34.78794738,-10.3364642,1.282142936
2.24,33.62225216,-13.72754439,1.183319467
2.28,31.07573162,-18.11529306,1.043150494
2.32,27.91398472,-23.35097973,0.874285821
2.36,23.22089904,-28.38288564,0.685787566
2.4,14.78285835,-33.01337125,0.421064133
2.44,7.514480528,-36.6800938,0.202095582
2.48,-1.833552513,-37.49942134,-0.048862913
2.52,-10.43708715,-36.66720053,-0.277345537
2.56,-19.08554634,-33.78741325,-0.514255791
2.6,-25.91636033,-29.40189537,-0.72256626
2.64,-31.45604334,-24.3585951,-0.911998632
2.68,-35.11799342,-19.09629634,-1.072883832
2.72,-37.4310036,-14.96123511,-1.190701516
2.76,-38.65975546,-12.0386248,-1.269078981
2.8,-38.97750235,-10.58847505,-1.305710872
2.84,-38.97473867,-10.66794564,-1.303794789
2.88,-38.40967042,-12.38199314,-1.259111367
2.92,-37.10470546,-15.64344682,-1.171958613
2.96,-34.54210661,-20.29605943,-1.039698152
3,-30.28936185,-25.82781964,-0.86484744
3.04,-24.15837392,-31.22704433,-0.658542881
3.08,-16.64234685,-35.45043734,-0.438970429
3.12,-8.123053768,-37.5861373,-0.212872445
3.16,1.300911508,-38.04538265,0.034184791
3.2,10.6265421,-36.60758211,0.282554661
3.24,16.92458942,-32.45485842,0.480746623
3.28,23.47798801,-28.30096276,0.692610472
3.32,26.87741684,-24.09814256,0.839974837
3.36,29.51290017,-19.71588645,0.981968788
3.4,31.28050962,-16.16259929,1.094020994
3.44,32.60579998,-13.45457489,1.179590959
3.48,33.05569205,-12.09769371,1.220115898
3.52,32.9714706,-12.09762477,1.21929346
3.56,32.43581015,-13.45458302,1.177743986
3.6,31.19213185,-16.3295691,1.088654803
