质量_A,,,
t,x,y,rad
5.68,36.81932105,-3.838981342,-1.467096514
5.72,36.81526264,-4.106553305,-1.459899937
5.76,36.64759568,-6.036973426,-1.407714669
5.8,36.05554444,-9.606031119,-1.310591226
5.84,33.94076379,-14.77068179,-1.160476845
5.88,31.22736483,-21.63265124,-0.965080132
5.92,25.04153174,-27.22382685,-0.743764688
5.96,19.45665544,-31.84609522,-0.548509686
6,10.63917894,-37.05593643,-0.279627035
6.04,1.744991519,-37.16831935,-0.046919992
6.08,-9.24845505,-36.47032275,0.248385431
6.12,-17.71166392,-33.59108674,0.485289908
6.16,-24.77887957,-29.57760625,0.697434364
6.2,-31.06084904,-23.38288635,0.92561989
6.24,-34.4635825,-18.4969101,1.078354483
6.28,-36.81932105,-13.17468597,1.227331174
6.32,-38.04081511,-9.597453354,1.323831799
6.36,-38.65156214,-8.114210563,1.364045836
6.4,-38.65156214,-7.590713107,1.377054521
6.44,-38.30256384,-9.771952506,1.321170998
6.48,-37.43006808,-11.6041936,1.270334084
6.52,-36.47032275,-15.79217325,1.162307768
6.56,-33.32933801,-21.72514441,0.993262759
6.6,-27.2218677,-27.13461812,0.787105343
6.64,-21.0271478,-32.71859098,0.571276754
6.68,-11.69144318,-35.59782699,0.317373467
6.72,-1.744991519,-37.34281851,0.046701059
6.76,7.590713107,-36.73207147,-0.203808757
6.8,15.53042452,-34.55083208,-0.42248862
6.84,22.33589144,-29.49035667,-0.648302104
6.88,27.30911727,-24.51713084,-0.839327007
6.92,31.37673041,-18.41751671,-1.040140134
6.96,34.34077052,-14.26596602,-1.177217489
7,36.1216442,-11.38452244,-1.265643333
7.04,36.62733165,-9.348604411,-1.321067274
7.08,36.54959393,-8.671116933,-1.338033764
7.12,36.03609503,-9.525298101,-1.312550091
7.16,34.93707649,-11.81098485,-1.244955197
7.2,33.24017288,-15.27976167,-1.140071549
7.24,30.52891919,-19.68834106,-0.99813853
7.28,27.73172101,-24.42759842,-0.848770408
